uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category,event_info,event_member_org,event_source_org,event_distribution,event_threat_level_id,event_analysis,event_date,event_tag,event_timestamp
"a34dfda9-349a-4179-b8f4-7c843907ab69",1025,"Other","text",".text","",0,1545983863,"name","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"84168bdc-0492-468e-91d4-edea671774a7",1025,"Other","size-in-bytes",227328,"",0,1545983863,"size-in-bytes","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"a7ad194d-2b27-4842-9e3d-9c195ae42626",1025,"Other","float",6.1008939139977,"",0,1545983863,"entropy","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"162ac6db-5f2c-4a33-b572-726eb0cfe1e1",1025,"Payload delivery","md5","0e05445913d343ef7ef8af7fff6caf2e","",1,1545983863,"md5","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"6a28f965-d233-49ed-b0fe-be3099f33f92",1025,"Payload delivery","sha1","7e39a897146b73b023c687b531c90c0b952e84d4","",1,1545983863,"sha1","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"254fd4c6-f389-451d-b9b7-52d0d37e57d4",1025,"Payload delivery","sha256","a0afde35dc33c0c03922626b0d699efa15764c9c063e4337cb236bce12e46803","",1,1545983863,"sha256","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"848fd7db-6e9e-41c2-8d98-df441f8665e1",1025,"Payload delivery","sha512","3aef50c5906bc3ccbff9a1eeb8b560dd6d6e48500713a9ec5c3164534b37f3ca0f7b88c4495a793b6d255d8daa9b6d0faf3610ceb8e792a9e0e4f4086e4d75e7","",1,1545983863,"sha512","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"84c7ded6-917f-48d5-8581-2416ecebb37a",1025,"Payload delivery","ssdeep","3072:Iz8uJGk1itXEAgB7XcxTULy44T+H3ry2skQG5W4IiR838:QjJGkUt0bB7XcZ44T+H3r9skh5W4I2R","",1,1545983863,"ssdeep","","6d2ea6cd-3988-4e21-93c7-d790cfe95bce","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"8c595994-289c-4420-b94e-993ec49b7caa",1025,"Other","text",".rdata","",0,1545983863,"name","","86d676f1-4d5a-4f58-8799-f879669fafde","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
"f046161c-4c3d-4ad1-a7be-a1192c07ff19",1025,"Other","size-in-bytes",42496,"",0,1545983863,"size-in-bytes","","86d676f1-4d5a-4f58-8799-f879669fafde","pe-section","file","Shamoon potential samples","ORGNAME","CIRCL",3,"Medium",2,"2018-12-28","tlp:white,misp-galaxy:tool=""Shamoon"",circl:incident-classification=""malware"",misp-galaxy:malpedia=""DistTrack"",misp-galaxy:mitre-malware=""Shamoon""",1593651459
